voyage_id,origin_port,destination_port,carrier,vessel_type,vessel_age_yrs,vessel_capacity_teu,route_distance_nm,month,winter_flag,planned_speed_kn,actual_speed_kn,speed_deviation_kn,weather_severity,port_congestion_idx,fuel_efficiency_ratio,load_factor,mechanical_incident,warehouse_buffer_hrs,truck_slots_available,sla_deadline_hrs,shipping_cost_usd,delay_probability,delayed,delay_hours
V0149,Chennai,Nhava Sheva,PIL,Bulk Carrier,5,10000,800,12,1,15.03,15.19,-0.16,0.263,0.314,0.823,0.612,0,48,3,96,3695.3,0.0549,0,0.0
V0150,Mumbai,Jebel Ali,MSC,Container,6,10000,1100,1,1,15.26,13.1,2.16,0.062,0.351,0.846,0.741,0,48,19,48,3996.45,0.1563,0,0.0
V0151,Mumbai,Jebel Ali,MSC,Ro-Ro,21,18000,1100,2,1,23.79,22.37,1.42,0.134,0.441,0.802,0.901,0,12,2,48,4765.98,0.3416,1,2.7
V0152,Shanghai,Dubai,COSCO Shipping,Bulk Carrier,8,5000,6200,10,0,20.74,20.28,0.45,0.22,0.56,0.911,0.564,0,48,3,72,4243.41,0.1886,0,0.0
V0153,Mumbai,Jebel Ali,MSC,Container,7,10000,1100,9,0,22.47,23.02,-0.55,0.207,0.139,0.978,0.86,0,48,9,48,4359.0,0.1145,0,0.0
V0154,Port Klang,Felixstowe,Evergreen,Container,21,24000,8100,10,0,17.24,15.81,1.44,0.745,0.119,0.7,0.586,0,48,11,48,2458.48,0.3657,1,35.5
V0155,Singapore,Rotterdam,Maersk,Tanker,10,24000,8400,3,0,20.76,19.78,0.98,0.743,0.746,0.874,0.656,0,48,11,72,4557.35,0.4222,0,0.0
V0156,Busan,Long Beach,HMM,Bulk Carrier,6,24000,5500,3,0,19.94,18.99,0.96,0.51,0.765,1.036,0.622,0,72,3,72,4346.54,0.4664,0,0.0
V0157,Singapore,Rotterdam,Maersk,Container,14,10000,8400,10,0,20.03,19.04,0.99,0.372,0.839,0.765,0.958,0,24,5,96,6037.13,0.3409,0,0.0
V0158,Shanghai,Dubai,COSCO Shipping,Tanker,4,18000,6200,9,0,20.83,21.78,-0.96,0.534,0.373,1.078,0.631,0,72,12,72,3260.55,0.1553,0,0.0
V0159,Colombo,Hamburg,Hapag-Lloyd,Tanker,13,10000,7800,3,0,19.75,18.82,0.93,0.464,0.545,0.785,0.568,0,24,15,24,3456.26,0.3909,1,33.9
V0160,Busan,Long Beach,HMM,Container,20,10000,5500,10,0,18.29,18.88,-0.59,0.203,0.703,0.868,0.814,0,48,17,96,4662.46,0.2308,0,0.0
V0161,Shanghai,Dubai,COSCO Shipping,Container,17,5000,6200,12,1,16.76,16.06,0.7,0.261,0.738,0.8,0.706,0,24,16,72,3611.63,0.5293,0,0.0
V0162,Chennai,Nhava Sheva,PIL,Container,7,10000,800,11,0,21.69,20.55,1.14,0.349,0.169,0.838,0.733,0,12,17,24,3470.61,0.0922,0,0.0
V0163,Colombo,Hamburg,Hapag-Lloyd,Bulk Carrier,4,5000,7800,5,0,16.26,15.8,0.46,0.663,0.208,0.92,0.604,0,12,15,24,4651.3,0.3691,1,8.9
V0164,Singapore,Rotterdam,Maersk,Container,14,10000,8400,6,0,20.92,19.74,1.18,0.501,0.473,0.904,0.887,0,24,13,72,4944.31,0.3671,1,14.1
V0165,Shanghai,Dubai,COSCO Shipping,Bulk Carrier,3,24000,6200,3,0,16.33,16.51,-0.17,0.027,0.377,0.969,0.821,0,12,2,24,4699.0,0.0671,0,0.0
V0166,Chennai,Nhava Sheva,PIL,Tanker,5,5000,800,10,0,20.25,22.85,-2.6,0.585,0.199,1.039,0.714,0,48,17,48,4023.81,0.3499,0,0.0
V0167,Busan,Long Beach,HMM,Tanker,16,2000,5500,8,0,21.47,18.31,3.16,0.048,0.251,0.955,0.627,0,24,1,96,2991.22,0.228,0,0.0
V0168,Busan,Long Beach,HMM,Container,20,2000,5500,2,1,16.19,15.43,0.76,0.362,0.349,0.705,0.817,0,48,10,24,5423.25,0.3223,0,0.0
V0169,Hong Kong,Los Angeles,ONE,Tanker,4,24000,7250,6,0,14.6,13.54,1.06,0.695,0.722,0.859,0.9,1,12,4,48,5062.99,0.7438,1,55.2
V0170,Chennai,Nhava Sheva,PIL,Container,2,10000,800,2,1,15.31,13.97,1.34,0.416,0.148,0.876,0.691,0,24,10,72,3022.36,0.1079,0,0.0
V0171,Port Klang,Felixstowe,Evergreen,Tanker,18,10000,8100,9,0,20.06,19.91,0.15,0.229,0.491,0.748,0.562,0,48,12,24,4474.06,0.2757,0,0.0
V0172,Mumbai,Jebel Ali,MSC,Container,19,18000,1100,6,0,22.49,22.38,0.11,0.472,0.117,0.898,0.646,0,24,3,72,3800.16,0.1689,0,0.0
V0173,Colombo,Hamburg,Hapag-Lloyd,Container,19,18000,7800,9,0,14.45,15.9,-1.45,0.353,0.433,0.855,0.857,0,24,1,24,4708.96,0.1474,0,0.0
V0174,Chennai,Nhava Sheva,PIL,Tanker,17,10000,800,4,0,21.34,20.4,0.94,0.195,0.364,0.786,0.995,0,72,19,48,4880.64,0.287,0,0.0
V0175,Hong Kong,Los Angeles,ONE,Container,14,18000,7250,12,1,17.41,15.67,1.74,0.217,0.585,0.859,0.556,0,24,1,48,3791.89,0.5296,0,0.0
V0176,Mumbai,Jebel Ali,MSC,Container,19,18000,1100,3,0,18.79,19.0,-0.22,0.34,0.205,0.922,0.688,0,48,19,72,3407.36,0.1765,0,0.0
V0177,Mumbai,Jebel Ali,MSC,Bulk Carrier,13,18000,1100,2,1,23.29,20.76,2.53,0.359,0.581,1.023,0.578,0,24,4,72,3663.73,0.6975,1,3.5
V0178,Shanghai,Dubai,COSCO Shipping,Bulk Carrier,12,5000,6200,8,0,17.32,15.82,1.5,0.085,0.548,0.901,0.692,0,72,13,96,4637.44,0.2048,0,0.0
V0179,Mumbai,Jebel Ali,MSC,Bulk Carrier,6,24000,1100,4,0,18.65,18.55,0.1,0.37,0.081,0.727,0.733,0,24,14,48,2294.08,0.1571,0,0.0
V0180,Port Klang,Felixstowe,Evergreen,Bulk Carrier,21,10000,8100,2,1,14.14,13.62,0.52,0.478,0.365,0.814,0.964,0,72,14,96,5380.8,0.4801,0,0.0
V0181,Busan,Long Beach,HMM,Container,4,5000,5500,11,0,14.82,15.62,-0.8,0.077,0.261,1.035,0.586,0,24,3,72,3321.19,0.0943,0,0.0
V0182,Hong Kong,Los Angeles,ONE,Container,19,10000,7250,9,0,16.59,14.76,1.83,0.578,0.594,0.828,0.9,0,12,19,96,5133.34,0.5722,1,19.9
V0183,Mumbai,Jebel Ali,MSC,Container,16,2000,1100,12,1,14.28,14.03,0.25,0.464,0.418,0.898,0.728,1,48,11,48,3994.97,0.2821,1,2.7
V0184,Shanghai,Dubai,COSCO Shipping,Container,13,5000,6200,8,0,20.31,17.87,2.45,0.199,0.701,0.899,0.915,0,48,9,48,5886.73,0.4125,0,0.0
V0185,Port Klang,Felixstowe,Evergreen,Ro-Ro,4,18000,8100,5,0,18.26,16.9,1.36,0.881,0.367,0.861,0.781,0,24,6,48,4556.88,0.4662,0,0.0
V0186,Singapore,Rotterdam,Maersk,Bulk Carrier,17,2000,8400,8,0,19.48,17.91,1.57,0.275,0.645,0.759,0.568,0,24,4,24,3282.95,0.5206,0,0.0
V0187,Busan,Long Beach,HMM,Container,1,10000,5500,5,0,15.75,14.08,1.66,0.206,0.197,0.964,0.976,0,48,5,72,5376.98,0.1462,0,0.0
V0188,Busan,Long Beach,HMM,Container,18,10000,5500,7,0,16.96,15.29,1.67,0.156,0.3,0.905,0.587,0,12,9,72,2513.6,0.2887,0,0.0
V0189,Hong Kong,Los Angeles,ONE,Ro-Ro,20,2000,7250,5,0,20.64,17.84,2.8,0.616,0.662,0.739,0.819,0,48,1,72,5313.22,0.8735,1,49.2
V0190,Busan,Long Beach,HMM,Container,17,24000,5500,5,0,23.65,23.1,0.56,0.234,0.395,0.866,0.945,0,48,15,48,5322.15,0.225,1,21.3
V0191,Mumbai,Jebel Ali,MSC,Bulk Carrier,15,5000,1100,4,0,14.5,15.79,-1.29,0.213,0.251,0.874,0.586,0,48,11,48,2854.14,0.1126,0,0.0
V0192,Shanghai,Dubai,COSCO Shipping,Container,11,10000,6200,5,0,22.9,19.88,3.03,0.129,0.84,1.017,0.799,0,12,1,48,4849.64,0.5743,1,8.8
V0193,Busan,Long Beach,HMM,Bulk Carrier,13,10000,5500,7,0,19.77,15.8,3.97,0.536,0.77,0.867,0.921,0,48,17,96,4805.81,0.6831,1,14.8
V0194,Busan,Long Beach,HMM,Container,1,5000,5500,3,0,19.64,19.44,0.2,0.157,0.357,0.85,0.994,0,12,15,48,5454.16,0.0507,0,0.0
V0195,Singapore,Rotterdam,Maersk,Tanker,17,2000,8400,4,0,19.0,17.45,1.55,0.294,0.47,0.882,0.876,0,24,14,48,5048.55,0.3604,0,0.0
V0196,Singapore,Rotterdam,Maersk,Ro-Ro,6,18000,8400,8,0,14.69,14.12,0.57,0.168,0.884,1.1,0.675,0,48,9,48,3437.29,0.1775,0,0.0
V0197,Colombo,Hamburg,Hapag-Lloyd,Bulk Carrier,4,24000,7800,6,0,14.9,13.79,1.11,0.231,0.316,1.017,0.865,0,72,4,24,5256.68,0.1243,0,0.0
V0198,Port Klang,Felixstowe,Evergreen,Bulk Carrier,20,5000,8100,8,0,20.01,18.24,1.77,0.22,0.708,0.737,0.868,0,24,9,24,6568.83,0.5998,0,0.0
V0199,Mumbai,Jebel Ali,MSC,Ro-Ro,16,18000,1100,11,0,17.41,16.76,0.65,0.255,0.049,0.753,0.865,0,24,5,48,4470.89,0.1895,0,0.0
V0200,Busan,Long Beach,HMM,Bulk Carrier,15,18000,5500,2,1,23.17,23.79,-0.62,0.402,0.86,0.774,0.934,0,48,3,72,4945.5,0.4834,0,0.0
V0201,Chennai,Nhava Sheva,PIL,Container,15,18000,800,9,0,18.07,13.56,4.5,0.189,0.192,1.01,0.589,0,24,18,96,3071.03,0.528,1,1.0
V0202,Busan,Long Beach,HMM,Bulk Carrier,6,10000,5500,7,0,15.43,14.86,0.57,0.208,0.41,0.914,0.599,0,48,9,96,3106.54,0.1313,0,0.0
V0203,Shanghai,Dubai,COSCO Shipping,Bulk Carrier,15,10000,6200,5,0,21.15,20.1,1.05,0.108,0.73,0.797,0.838,0,72,4,96,4637.0,0.4004,1,54.9
V0204,Colombo,Hamburg,Hapag-Lloyd,Container,14,10000,7800,11,0,16.93,15.24,1.69,0.748,0.713,0.847,0.979,0,72,7,24,5619.28,0.7437,1,48.9
V0205,Port Klang,Felixstowe,Evergreen,Bulk Carrier,11,18000,8100,7,0,19.25,20.87,-1.62,0.687,0.481,0.865,0.76,0,24,1,24,4492.73,0.4273,1,68.3
V0206,Chennai,Nhava Sheva,PIL,Ro-Ro,7,18000,800,2,1,20.98,19.79,1.19,0.411,0.14,1.055,0.982,0,48,16,24,4860.33,0.2457,0,0.0
V0207,Colombo,Hamburg,Hapag-Lloyd,Ro-Ro,9,5000,7800,11,0,23.0,21.6,1.4,0.487,0.775,0.829,0.972,0,72,6,72,6142.09,0.5038,0,0.0
V0208,Hong Kong,Los Angeles,ONE,Container,16,10000,7250,4,0,21.92,22.46,-0.54,0.256,0.44,0.934,0.956,0,12,6,72,5448.21,0.1491,1,23.0
V0209,Port Klang,Felixstowe,Evergreen,Container,5,24000,8100,7,0,20.76,19.62,1.14,0.638,0.602,0.96,0.959,0,48,14,72,5621.12,0.3981,1,23.4
V0210,Busan,Long Beach,HMM,Ro-Ro,20,18000,5500,2,1,20.8,18.33,2.46,0.33,0.285,0.897,0.954,0,24,5,48,4472.52,0.5624,0,0.0
V0211,Busan,Long Beach,HMM,Tanker,10,24000,5500,8,0,23.46,22.71,0.75,0.36,0.349,1.027,0.919,0,24,11,48,4593.38,0.1665,0,0.0
V0212,Port Klang,Felixstowe,Evergreen,Container,18,18000,8100,10,0,16.96,17.01,-0.05,0.074,0.591,0.827,0.863,0,72,1,48,5326.42,0.3134,0,0.0
V0213,Busan,Long Beach,HMM,Ro-Ro,3,10000,5500,10,0,14.01,13.38,0.63,0.163,0.331,0.945,0.561,0,48,10,24,4035.8,0.1993,0,0.0
V0214,Mumbai,Jebel Ali,MSC,Tanker,13,10000,1100,11,0,16.72,15.2,1.52,0.106,0.15,0.875,0.61,1,24,1,72,3085.42,0.2563,0,0.0
V0215,Port Klang,Felixstowe,Evergreen,Container,11,18000,8100,5,0,16.18,16.77,-0.59,0.244,0.505,0.882,0.61,0,72,4,96,3987.11,0.243,0,0.0
V0216,Colombo,Hamburg,Hapag-Lloyd,Bulk Carrier,17,2000,7800,5,0,20.62,20.0,0.62,0.199,0.897,0.7,0.561,0,48,8,48,3029.55,0.4667,0,0.0
V0217,Port Klang,Felixstowe,Evergreen,Container,13,10000,8100,8,0,20.34,19.13,1.2,0.563,0.339,0.994,0.603,0,72,1,72,3574.27,0.3125,0,0.0
V0218,Chennai,Nhava Sheva,PIL,Container,6,18000,800,12,1,19.93,19.24,0.69,0.351,0.6,0.96,0.964,0,24,8,48,5034.56,0.282,0,0.0
V0219,Busan,Long Beach,HMM,Container,17,5000,5500,1,1,14.16,12.68,1.48,0.522,0.665,0.737,0.849,0,24,14,48,5504.93,0.5987,1,31.2
V0220,Mumbai,Jebel Ali,MSC,Tanker,13,18000,1100,6,0,21.29,23.49,-2.21,0.136,0.276,0.705,0.69,0,24,17,24,3684.7,0.0921,0,0.0
V0221,Mumbai,Jebel Ali,MSC,Container,19,10000,1100,2,1,17.24,16.6,0.63,0.405,0.119,0.7,0.907,0,48,9,48,4601.45,0.2864,0,0.0
V0222,Hong Kong,Los Angeles,ONE,Container,21,24000,7250,1,1,20.65,19.18,1.47,0.398,0.291,0.852,0.77,0,24,6,72,4848.04,0.5348,1,13.0
V0223,Colombo,Hamburg,Hapag-Lloyd,Container,19,2000,7800,12,1,19.57,18.94,0.62,0.323,0.446,0.76,0.614,0,24,1,24,3500.35,0.6663,1,25.8
V0224,Singapore,Rotterdam,Maersk,Container,10,5000,8400,7,0,17.43,14.98,2.45,0.559,0.637,0.864,0.948,0,72,9,72,5282.4,0.5931,0,0.0
V0225,Singapore,Rotterdam,Maersk,Ro-Ro,3,18000,8400,12,1,15.35,14.99,0.35,0.638,0.265,1.009,0.702,0,72,1,96,4404.5,0.2336,0,0.0
V0226,Port Klang,Felixstowe,Evergreen,Container,14,5000,8100,4,0,14.94,14.88,0.06,0.609,0.744,0.819,0.864,0,48,14,24,4716.81,0.531,1,14.5
V0227,Hong Kong,Los Angeles,ONE,Container,19,18000,7250,1,1,22.32,20.56,1.75,0.386,0.525,0.854,0.681,0,72,11,48,4623.88,0.5839,1,55.8
V0228,Shanghai,Dubai,COSCO Shipping,Bulk Carrier,5,18000,6200,10,0,23.18,22.25,0.93,0.254,0.417,0.958,0.775,0,72,8,72,5088.67,0.1456,0,0.0
V0229,Port Klang,Felixstowe,Evergreen,Container,5,5000,8100,11,0,20.5,20.57,-0.08,0.414,0.462,0.943,0.917,0,48,12,72,5422.41,0.143,0,0.0
V0230,Hong Kong,Los Angeles,ONE,Container,20,10000,7250,11,0,15.03,15.42,-0.39,0.646,0.429,0.7,0.621,0,48,6,48,4350.59,0.3867,0,0.0
V0231,Colombo,Hamburg,Hapag-Lloyd,Container,17,10000,7800,6,0,18.02,17.97,0.05,0.36,0.624,0.764,0.99,0,72,17,48,6628.5,0.41,1,12.8
V0232,Colombo,Hamburg,Hapag-Lloyd,Container,21,10000,7800,10,0,21.29,20.22,1.07,0.248,0.447,0.838,0.582,0,48,11,96,4045.49,0.3728,1,9.1
V0233,Colombo,Hamburg,Hapag-Lloyd,Container,10,24000,7800,12,1,21.8,20.15,1.65,0.594,0.802,0.845,0.79,0,24,10,48,5335.99,0.6147,1,15.9
V0234,Colombo,Hamburg,Hapag-Lloyd,Container,5,18000,7800,6,0,15.18,14.02,1.17,0.328,0.64,1.046,0.962,1,24,8,24,5709.05,0.5854,1,45.5
V0235,Colombo,Hamburg,Hapag-Lloyd,Container,4,18000,7800,12,1,14.0,11.96,2.04,0.45,0.139,1.1,0.976,0,48,12,96,6263.95,0.2445,0,0.0
V0236,Hong Kong,Los Angeles,ONE,Ro-Ro,6,18000,7250,3,0,21.12,23.0,-1.88,0.156,0.416,0.993,0.654,0,72,4,24,4079.73,0.0807,0,0.0
V0237,Hong Kong,Los Angeles,ONE,Container,4,10000,7250,6,0,17.57,17.26,0.31,0.489,0.64,1.079,0.615,0,48,13,24,3595.52,0.3466,1,4.1
V0238,Mumbai,Jebel Ali,MSC,Bulk Carrier,7,24000,1100,10,0,16.54,15.71,0.83,0.107,0.275,0.988,0.876,0,72,3,48,4858.62,0.1945,0,0.0
V0239,Chennai,Nhava Sheva,PIL,Bulk Carrier,7,18000,800,9,0,14.13,12.59,1.54,0.428,0.157,0.887,0.569,0,48,4,24,3050.33,0.2651,0,0.0
V0240,Singapore,Rotterdam,Maersk,Container,18,18000,8400,6,0,19.4,22.47,-3.07,0.655,0.577,0.836,0.768,0,24,8,96,5239.68,0.3062,0,0.0
V0241,Busan,Long Beach,HMM,Bulk Carrier,3,24000,5500,1,1,22.51,20.78,1.73,0.274,0.598,1.1,0.908,0,48,5,48,4831.27,0.3701,0,0.0
V0242,Colombo,Hamburg,Hapag-Lloyd,Container,1,5000,7800,10,0,23.58,22.93,0.64,0.635,0.326,0.948,0.802,0,24,2,72,5105.32,0.15,1,28.8
V0243,Shanghai,Dubai,COSCO Shipping,Ro-Ro,4,18000,6200,6,0,19.66,19.86,-0.2,0.502,0.666,0.877,0.635,0,48,8,24,4388.15,0.4856,0,0.0
V0244,Busan,Long Beach,HMM,Container,6,5000,5500,8,0,19.14,19.32,-0.18,0.473,0.447,0.849,0.769,1,72,5,24,4282.76,0.3347,0,0.0
V0245,Hong Kong,Los Angeles,ONE,Container,9,10000,7250,7,0,14.85,15.69,-0.84,0.302,0.322,0.893,0.965,0,48,16,72,6093.38,0.1837,0,0.0
V0246,Shanghai,Dubai,COSCO Shipping,Container,14,10000,6200,8,0,19.49,20.52,-1.03,0.223,0.156,0.78,0.828,0,72,15,96,5669.14,0.108,0,0.0
V0247,Shanghai,Dubai,COSCO Shipping,Ro-Ro,12,24000,6200,11,0,17.8,17.16,0.64,0.563,0.552,1.014,0.875,0,24,19,24,4822.88,0.5377,1,74.6
V0248,Shanghai,Dubai,COSCO Shipping,Container,20,24000,6200,12,1,20.07,17.26,2.81,0.261,0.61,0.817,0.701,0,48,13,72,4383.42,0.6464,1,20.3
V0249,Mumbai,Jebel Ali,MSC,Bulk Carrier,4,18000,1100,8,0,17.89,16.98,0.9,0.365,0.139,1.038,0.635,0,24,11,24,4183.39,0.1015,0,0.0
V0250,Hong Kong,Los Angeles,ONE,Container,21,18000,7250,9,0,16.4,14.85,1.56,0.21,0.709,0.766,0.665,0,48,16,72,3477.43,0.5133,1,22.4
V0251,Shanghai,Dubai,COSCO Shipping,Bulk Carrier,12,10000,6200,3,0,14.95,16.76,-1.81,0.279,0.495,0.789,0.79,0,48,18,96,4895.99,0.2605,0,0.0
V0252,Colombo,Hamburg,Hapag-Lloyd,Container,10,24000,7800,7,0,17.15,14.31,2.84,0.674,0.156,0.795,0.676,0,48,15,72,4662.92,0.7274,1,35.2
V0253,Port Klang,Felixstowe,Evergreen,Tanker,7,10000,8100,6,0,14.97,16.23,-1.26,0.472,0.776,0.857,0.794,0,24,6,72,4951.72,0.4607,1,96.0
V0254,Shanghai,Dubai,COSCO Shipping,Container,3,10000,6200,2,1,15.77,15.81,-0.04,0.274,0.738,0.998,0.869,0,24,8,24,6205.17,0.3469,0,0.0
V0255,Mumbai,Jebel Ali,MSC,Container,14,5000,1100,5,0,23.87,24.15,-0.28,0.236,0.276,0.902,0.88,0,48,4,24,4779.82,0.1092,1,1.4
V0256,Busan,Long Beach,HMM,Container,10,18000,5500,3,0,18.44,17.67,0.77,0.449,0.126,0.948,0.624,0,48,16,24,4452.96,0.1493,0,0.0
V0257,Hong Kong,Los Angeles,ONE,Container,16,18000,7250,11,0,19.32,16.43,2.89,0.491,0.706,0.721,0.888,0,48,11,48,5725.29,0.6468,0,0.0
V0258,Chennai,Nhava Sheva,PIL,Bulk Carrier,16,10000,800,5,0,22.74,22.48,0.26,0.189,0.18,0.84,0.853,0,48,2,72,5106.79,0.1315,0,0.0
V0259,Mumbai,Jebel Ali,MSC,Container,10,2000,1100,11,0,23.96,23.55,0.41,0.07,0.219,0.818,0.555,0,72,4,48,2997.11,0.0509,0,0.0
V0260,Shanghai,Dubai,COSCO Shipping,Tanker,13,18000,6200,9,0,19.83,19.87,-0.04,0.287,0.691,0.902,0.576,0,72,14,24,2973.87,0.3655,1,33.2
V0261,Hong Kong,Los Angeles,ONE,Container,6,2000,7250,8,0,22.12,21.8,0.32,0.478,0.206,0.978,0.841,0,24,11,96,5347.24,0.1115,0,0.0
V0262,Port Klang,Felixstowe,Evergreen,Container,12,18000,8100,9,0,17.27,15.09,2.18,0.291,0.548,0.786,0.723,0,24,4,96,3742.35,0.3321,0,0.0
V0263,Shanghai,Dubai,COSCO Shipping,Container,9,24000,6200,9,0,17.06,14.87,2.19,0.367,0.505,0.987,0.616,0,48,3,48,3655.84,0.3636,1,6.8
V0264,Mumbai,Jebel Ali,MSC,Container,13,10000,1100,11,0,18.03,18.57,-0.55,0.271,0.137,1.057,0.57,0,12,5,48,2748.71,0.0658,0,0.0
V0265,Singapore,Rotterdam,Maersk,Bulk Carrier,4,5000,8400,8,0,20.73,20.93,-0.21,0.6,0.579,1.027,0.622,0,24,6,24,3922.69,0.3028,0,0.0
V0266,Colombo,Hamburg,Hapag-Lloyd,Container,11,18000,7800,8,0,20.82,19.23,1.59,0.718,0.438,0.877,0.981,0,24,9,48,6472.51,0.4187,1,58.8
V0267,Chennai,Nhava Sheva,PIL,Container,20,18000,800,11,0,17.15,16.48,0.67,0.053,0.133,0.775,0.877,1,24,4,48,4470.3,0.2665,0,0.0
V0268,Busan,Long Beach,HMM,Tanker,18,10000,5500,11,0,15.33,13.02,2.31,0.222,0.17,0.803,0.787,0,48,7,96,5625.22,0.4208,1,18.9
V0269,Mumbai,Jebel Ali,MSC,Ro-Ro,11,24000,1100,6,0,20.32,17.7,2.62,0.227,0.06,0.829,0.974,0,24,13,72,4968.1,0.2275,1,8.7
V0270,Hong Kong,Los Angeles,ONE,Container,21,2000,7250,6,0,15.28,12.9,2.38,0.465,0.66,0.81,0.829,0,24,10,72,3944.22,0.6093,0,0.0
V0271,Chennai,Nhava Sheva,PIL,Container,4,10000,800,6,0,19.78,17.84,1.94,0.139,0.388,0.869,0.877,0,72,12,24,4182.6,0.167,0,0.0
V0272,Chennai,Nhava Sheva,PIL,Bulk Carrier,18,18000,800,10,0,20.93,18.9,2.04,0.33,0.471,0.7,0.677,0,72,10,48,3907.28,0.3797,1,3.1
V0273,Chennai,Nhava Sheva,PIL,Container,1,24000,800,6,0,21.01,19.99,1.02,0.17,0.314,1.008,0.815,0,72,11,24,3497.36,0.1031,0,0.0
V0274,Shanghai,Dubai,COSCO Shipping,Container,7,5000,6200,11,0,21.53,19.44,2.1,0.285,0.394,0.932,0.615,0,24,11,96,3638.84,0.3096,0,0.0
V0275,Colombo,Hamburg,Hapag-Lloyd,Container,6,18000,7800,12,1,22.73,24.64,-1.91,0.443,0.593,0.894,0.732,0,12,6,24,5004.28,0.2025,0,0.0
V0276,Shanghai,Dubai,COSCO Shipping,Bulk Carrier,15,10000,6200,9,0,19.0,18.55,0.45,0.116,0.524,0.747,0.565,0,24,6,48,3411.06,0.1723,0,0.0
V0277,Hong Kong,Los Angeles,ONE,Bulk Carrier,18,10000,7250,10,0,21.3,18.79,2.51,0.423,0.369,0.843,0.647,0,24,6,24,3830.01,0.5411,1,13.7
V0278,Shanghai,Dubai,COSCO Shipping,Container,11,5000,6200,1,1,20.19,19.33,0.86,0.4,0.841,0.811,0.584,0,24,12,72,4289.58,0.5428,0,0.0
V0279,Singapore,Rotterdam,Maersk,Container,20,24000,8400,10,0,15.87,15.25,0.62,0.335,0.23,0.789,0.725,0,72,14,48,4517.05,0.1035,0,0.0
V0280,Colombo,Hamburg,Hapag-Lloyd,Container,15,5000,7800,6,0,14.26,15.48,-1.22,0.547,0.364,0.991,0.929,0,72,18,48,5061.7,0.305,0,0.0
V0281,Colombo,Hamburg,Hapag-Lloyd,Bulk Carrier,16,10000,7800,8,0,16.85,14.76,2.08,0.413,0.581,0.892,0.72,0,72,19,24,4953.16,0.6454,0,0.0
V0282,Hong Kong,Los Angeles,ONE,Container,7,5000,7250,1,1,18.43,19.33,-0.9,0.125,0.603,0.82,0.924,0,48,10,48,6059.59,0.1708,0,0.0
V0283,Busan,Long Beach,HMM,Container,21,24000,5500,11,0,20.17,16.78,3.39,0.062,0.667,0.7,0.845,0,48,10,72,4977.41,0.4491,0,0.0
V0284,Singapore,Rotterdam,Maersk,Tanker,10,18000,8400,11,0,22.5,20.53,1.97,0.282,0.541,0.912,0.779,0,48,7,96,4614.65,0.3026,1,11.0
V0285,Mumbai,Jebel Ali,MSC,Container,12,18000,1100,6,0,15.96,15.09,0.87,0.102,0.294,0.77,0.657,0,72,10,24,2971.35,0.1238,0,0.0
V0286,Shanghai,Dubai,COSCO Shipping,Bulk Carrier,14,5000,6200,9,0,15.26,14.79,0.46,0.735,0.192,0.7,0.965,0,48,14,96,5292.05,0.4679,1,6.9
V0287,Port Klang,Felixstowe,Evergreen,Container,5,18000,8100,6,0,23.63,26.0,-2.37,0.493,0.332,0.993,0.574,0,24,5,48,3213.67,0.1115,0,0.0
V0288,Shanghai,Dubai,COSCO Shipping,Container,21,10000,6200,2,1,15.08,12.54,2.54,0.232,0.312,0.816,0.86,0,24,11,48,4797.78,0.5087,1,27.3
V0289,Chennai,Nhava Sheva,PIL,Container,18,18000,800,1,1,18.78,17.21,1.58,0.238,0.098,0.856,0.83,0,48,7,72,4518.43,0.3809,0,0.0
V0290,Shanghai,Dubai,COSCO Shipping,Bulk Carrier,5,24000,6200,4,0,19.86,18.64,1.22,0.204,0.291,0.971,0.748,0,24,18,48,4854.68,0.1653,0,0.0
V0291,Mumbai,Jebel Ali,MSC,Tanker,3,2000,1100,6,0,19.41,20.15,-0.74,0.419,0.407,0.965,0.658,0,72,11,48,3436.28,0.1612,0,0.0
V0292,Shanghai,Dubai,COSCO Shipping,Tanker,5,18000,6200,10,0,14.86,12.85,2.01,0.188,0.392,0.897,0.744,0,48,3,72,4654.29,0.2369,0,0.0
V0293,Singapore,Rotterdam,Maersk,Container,17,2000,8400,10,0,14.57,11.71,2.86,0.427,0.552,0.871,0.943,0,48,7,48,5604.17,0.7115,0,0.0
V0294,Singapore,Rotterdam,Maersk,Bulk Carrier,19,10000,8400,9,0,15.05,12.16,2.89,0.603,0.427,0.932,0.927,0,12,4,72,5275.49,0.7075,1,38.5
V0295,Colombo,Hamburg,Hapag-Lloyd,Container,19,5000,7800,5,0,19.86,19.17,0.68,0.362,0.491,0.77,0.974,0,48,19,72,5632.9,0.5316,1,12.4
V0296,Hong Kong,Los Angeles,ONE,Container,21,10000,7250,7,0,19.44,16.35,3.09,0.34,0.519,0.708,0.689,0,48,18,48,4874.69,0.8093,1,9.3
V0297,Busan,Long Beach,HMM,Tanker,12,10000,5500,6,0,16.34,17.04,-0.7,0.551,0.439,0.789,0.724,0,48,11,48,3142.78,0.3069,0,0.0
V0298,Port Klang,Felixstowe,Evergreen,Container,9,18000,8100,6,0,20.38,21.54,-1.17,0.39,0.814,0.841,0.558,0,24,14,24,3191.02,0.3035,1,18.4
V0299,Chennai,Nhava Sheva,PIL,Container,1,10000,800,9,0,22.2,22.86,-0.66,0.388,0.172,1.006,0.974,0,72,10,48,4731.0,0.0991,0,0.0
